id,asin,title,subtitle,authors,narrators,series_name,series_position,publisher,release_year,language,description,genres,pillar,runtime_min,status,rating,file_path,purchase_date,chunk_text
54,B072PDYHQ7,The Millionaire Next Door,The Surprising Secrets of America's Rich,Thomas J. Stanley Ph.D.; William D. Danko Ph.D.,Cotter Smith,,,Simon & Schuster Audio,2000,English,Who are the rich in this country? What do they do? How do they invest? How did they get rich? Can you ever become one of them?...,Business & Careers|Money & Finance|Personal Success|Personal Finance,other,496,in_progress,,,,The Millionaire Next Door by Thomas J. Stanley Ph.D.; William D. Danko Ph.D.. Narrated by Cotter Smith. Who are the rich in this country? What do they do? How do they invest? How did they get rich? Can you ever become one of them?...
55,B072PQ17Q9,The Wall Street Journal Digest,,The Wall Street Journal,Alexander Quincy,,,The Wall Street Journal,2026,English,Make The Wall Street Journal part of your day….,Business & Careers|Management & Leadership,other,25,not_started,,,,The Wall Street Journal Digest by The Wall Street Journal. Narrated by Alexander Quincy. Make The Wall Street Journal part of your day….
56,B07623S2ZF,Rise,"3 Practical Steps for Advancing Your Career, Standing Out as a Leader, and Liking Your Life",Patty Azzarello,Patty Azzarello,,,Patty Azzarello,2017,English,"A straight-shooting Silicon Valley executive reveals insider career strategies to becoming a great leader, developing your network, succeeding without wasting time, and managing trade-offs....",Business & Careers|Small Business & Entrepreneurship|Management & Leadership|Personal Success,other,639,not_started,,,,"Rise by Patty Azzarello. Narrated by Patty Azzarello. A straight-shooting Silicon Valley executive reveals insider career strategies to becoming a great leader, developing your network, succeeding without wasting time, and managing trade-offs...."
57,B076QK5LD9,The Obesity Code,Unlocking the Secrets of Weight Loss,Jason Fung,Brian Nishii,,,Audible Studios,2017,English,"We are in the midst of an obesity epidemic, but despite being inundated with diet advice we are only getting fatter. We count calories and exercise regularly, yet still the pounds won't budge....","Health & Wellness|Fitness, Diet & Nutrition|Diets, Nutrition & Healthy Eating",other,609,in_progress,,,,"The Obesity Code by Jason Fung. Narrated by Brian Nishii. We are in the midst of an obesity epidemic, but despite being inundated with diet advice we are only getting fatter. We count calories and exercise regularly, yet still the pounds won't budge...."
58,B07B6FRFFW,How to Be Heard,Secrets for Powerful Speaking and Listening,Julian Treasure,Julian Treasure,,,"Blackstone Audio, Inc.",2018,English,"Have you ever felt like you're talking, but nobody is listening? Renowned five-time TED Talk speaker and author Julian Treasure reveals how to speak so that people listen and how to listen so that people feel heard....","Business & Careers|Relationships, Parenting & Personal Development|Personal Success|Marketing & Sales|Personal Development|Communication & Social Skills",public_speaking,749,in_progress,,,,"How to Be Heard by Julian Treasure. Narrated by Julian Treasure. Have you ever felt like you're talking, but nobody is listening? Renowned five-time TED Talk speaker and author Julian Treasure reveals how to speak so that people listen and how to listen so that people feel heard...."
59,B07BMHQHCV,Measure What Matters,"How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr; Larry Page - foreword,John Doerr; full cast; Julia Collins; Jini Kim; Mike Lee; Atticus Tysen; Patti Stonesifer; Susan Wojcicki; Cristos Goodrow; Alex Garden; Joseph Suzuki; Various,,,Penguin Audio,2018,English,Legendary venture capitalist John Doerr reveals how the goal-setting system of Objectives and Key Results (OKRs) has helped tech giants from Intel to Google achieve explosive growth - and how it can help any organization thrive....,Business & Careers|Small Business & Entrepreneurship|Management & Leadership|Workplace & Organizational Behaviour,other,476,not_started,,,,Measure What Matters by John Doerr; Larry Page - foreword. Narrated by John Doerr; full cast; Julia Collins; Jini Kim; Mike Lee; Atticus Tysen; Patti Stonesifer; Susan Wojcicki; Cristos Goodrow; Alex Garden; Joseph Suzuki; Various. Legendary venture capitalist John Doerr reveals how the goal-setting system of Objectives and Key Results (OKRs) has helped tech giants from Intel to Google achieve explosive growth - and how it can help any organization thrive....
60,B07BN1QB8C,The Business of Expertise,How Entrepreneurial Experts Convert Insight to Impact + Wealth,David C. Baker,David C. Baker,,,RockBench Publishing Corp.,2018,English,This passionate expertise manifesto is intended to elevate the impact of advisors who sell insight as entrepreneurs....,Business & Careers|Small Business & Entrepreneurship,other,278,in_progress,,,,The Business of Expertise by David C. Baker. Narrated by David C. Baker. This passionate expertise manifesto is intended to elevate the impact of advisors who sell insight as entrepreneurs....
61,B07BTK8X2K,The Diabetes Code,Prevent and Reverse Type 2 Diabetes Naturally,Dr. Jason Fung,Dr. Jason Fung,,,Audible Studios,2018,English,"Today, most doctors, dietitians, and even diabetes specialists consider type 2 diabetes to be a chronic and progressive disease - a life sentence with no possibility of parole....","Health & Wellness|Physical Illness & Disease|Diabetes|Alternative & Complementary Medicine|Fitness, Diet & Nutrition|Diets, Nutrition & Healthy Eating",other,444,in_progress,,,,"The Diabetes Code by Dr. Jason Fung. Narrated by Dr. Jason Fung. Today, most doctors, dietitians, and even diabetes specialists consider type 2 diabetes to be a chronic and progressive disease - a life sentence with no possibility of parole...."
62,B07D34S84R,The New York Times Digest,,The New York Times,Mark Moran,,,The New York Times,2026,English,"It's the perfect listen for your morning commute! In the time it takes you to get to work, you'll hear a digest of the day's top stories, prepared by the editorial staff of The New York Times....",Politics & Social Sciences|Social Sciences,other,,not_started,,,,"The New York Times Digest by The New York Times. Narrated by Mark Moran. It's the perfect listen for your morning commute! In the time it takes you to get to work, you'll hear a digest of the day's top stories, prepared by the editorial staff of The New York Times...."
63,B07DHRSDLW,Make Time,How to Focus on What Matters Every Day,Jake Knapp; John Zeratsky,Jake Knapp; John Zeratsky,,,Random House Audio,2018,English,"Nobody ever looked at an empty calendar and said, ""The best way to spend this time is by cramming it full of meetings!"" or got to work in the morning and thought, Today I'll spend hours on Facebook! Yet that's exactly what we do....","Business & Careers|Relationships, Parenting & Personal Development|Management & Leadership|Personal Success|Personal Development",productivity,298,in_progress,,,,"Make Time by Jake Knapp; John Zeratsky. Narrated by Jake Knapp; John Zeratsky. Nobody ever looked at an empty calendar and said, ""The best way to spend this time is by cramming it full of meetings!"" or got to work in the morning and thought, Today I'll spend hours on Facebook! Yet that's exactly what we do...."
64,B07FK46FRF,Learning How to Learn,How to Succeed in School Without Spending All Your Time Studying; A Guide for Kids and Teens,Barbara Oakley PhD; Terrence Sejnowski PhD; Alistair McConville,Laural Merlington,,,"Dreamscape Media, LLC",2018,English,"Learning How to Learn teaches students about the importance of both focused concentration and letting their minds wander, how the brain makes connections between different pieces of information, why procrastination is the enemy of problem solving, and much more....",Children's Audiobooks,other,332,not_started,,,,"Learning How to Learn by Barbara Oakley PhD; Terrence Sejnowski PhD; Alistair McConville. Narrated by Laural Merlington. Learning How to Learn teaches students about the importance of both focused concentration and letting their minds wander, how the brain makes connections between different pieces of information, why procrastination is the enemy of problem solving, and much more...."
65,B07FS63X86,Peak,Secrets from the New Science of Expertise,Anders Ericsson; Robert Pool,Sean Runnette,,,Audible Studios,2018,English,"Anders Ericsson has made a career studying chess champions, violin virtuosos, star athletes, and memory mavens. Peak distills three decades of myth-shattering research into a powerful learning strategy....","Business & Careers|Health & Wellness|Relationships, Parenting & Personal Development|Management & Leadership|Personal Success|Psychology & Mental Health|Psychology|Personal Development",other,600,in_progress,,,,"Peak by Anders Ericsson; Robert Pool. Narrated by Sean Runnette. Anders Ericsson has made a career studying chess champions, violin virtuosos, star athletes, and memory mavens. Peak distills three decades of myth-shattering research into a powerful learning strategy...."
66,B07GBGQJSW,Atomic Habits,An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,James Clear,,,Penguin Audio,2018,English,"No matter your goals, Atomic Habits offers a proven framework for improving - every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones....","Business & Careers|Health & Wellness|Relationships, Parenting & Personal Development|Workplace & Organizational Behaviour|Psychology & Mental Health|Psychology|Personal Development|Personal Success",productivity,335,in_progress,,,,"Atomic Habits by James Clear. Narrated by James Clear. No matter your goals, Atomic Habits offers a proven framework for improving - every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones...."
67,B07KKPGDZF,Can't Hurt Me,Master Your Mind and Defy the Odds,David Goggins,David Goggins; Adam Skolnick,,,Lioncrest Publishing,2018,English,"For David Goggins, childhood was a nightmare--poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself....","Biographies & Memoirs|Relationships, Parenting & Personal Development|Personal Development|Personal Success",other,817,in_progress,,,,"Can't Hurt Me by David Goggins. Narrated by David Goggins; Adam Skolnick. For David Goggins, childhood was a nightmare--poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself...."
69,B07NJJJX8R,Talking to Strangers,What We Should Know About the People We Don't Know,Malcolm Gladwell,Malcolm Gladwell,,,Hachette Audio,2019,English,"Malcolm Gladwell, host of the podcast Revisionist History and author of the number-one New York Times best seller Outliers, reinvents the audiobook in this immersive production of Talking to Strangers, a powerful examination of our interactions with people....","Politics & Social Sciences|Health & Wellness|History|Relationships, Parenting & Personal Development|Social Sciences|Sociology|Psychology & Mental Health|Psychology|Relationships",other,537,not_started,,,,"Talking to Strangers by Malcolm Gladwell. Narrated by Malcolm Gladwell. Malcolm Gladwell, host of the podcast Revisionist History and author of the number-one New York Times best seller Outliers, reinvents the audiobook in this immersive production of Talking to Strangers, a powerful examination of our interactions with people...."
70,B082TMK7N4,Failing Forward,Turning Mistakes into Stepping Stones for Success,John C. Maxwell,Henry O. Arnold; John C. Maxwell,,,HarperCollins Leadership,2020,English,"America's expert on leadership helps listeners change their attitudes and beliefs about failure, so they can make positive changes in their lives and achieve their full potential....","Religion & Spirituality|Business & Careers|Relationships, Parenting & Personal Development|Christianity|Ministry & Evangelism|Christian Living|Management & Leadership|Personal Success|Personal Development",other,365,in_progress,,,,"Failing Forward by John C. Maxwell. Narrated by Henry O. Arnold; John C. Maxwell. America's expert on leadership helps listeners change their attitudes and beliefs about failure, so they can make positive changes in their lives and achieve their full potential...."
72,B0833FY2TJ,"The Pragmatic Programmer: 20th Anniversary Edition, 2nd Edition",Your Journey to Mastery,David Thomas; Andrew Hunt,Anna Katarina,,,David Thomas,2019,English,Dave Thomas and Andy Hunt wrote the first edition of this influential book in 1999 to help their clients create better software and rediscover the joy of coding. These lessons have helped a generation of programmers examine the very essence of software development....,Computers & Technology|Programming & Software Development,software_engineering,595,in_progress,,,,"The Pragmatic Programmer: 20th Anniversary Edition, 2nd Edition by David Thomas; Andrew Hunt. Narrated by Anna Katarina. Dave Thomas and Andy Hunt wrote the first edition of this influential book in 1999 to help their clients create better software and rediscover the joy of coding. These lessons have helped a generation of programmers examine the very essence of software development...."
73,B0848WT54C,The Successful Speaker,"Five Steps for Booking Gigs, Getting Paid, and Building Your Platform",Grant Baldwin,Grant Baldwin,,,Baker Books,2020,English,"Do you have a message you want to get out into the world? Have you ever dreamed of speaking for a living? Is there something you have to say, but you just aren't sure what to do next? The Successful Speaker is a proven, easy-to-follow guide to helping you do just that....","Business & Careers|Education & Learning|Relationships, Parenting & Personal Development|Management & Leadership|Personal Success|Personal Development",other,397,in_progress,,,,"The Successful Speaker by Grant Baldwin. Narrated by Grant Baldwin. Do you have a message you want to get out into the world? Have you ever dreamed of speaking for a living? Is there something you have to say, but you just aren't sure what to do next? The Successful Speaker is a proven, easy-to-follow guide to helping you do just that...."
74,B086DN569S,The 7 Habits of Highly Effective People,30th Anniversary Edition,Sean Covey; Jim Collins - foreword; Stephen R. Covey,Stephen R. Covey; Sean Covey,,,Simon & Schuster Audio,2020,English,"One of the most inspiring and impactful books ever written, The Seven Habits of Highly Effective People has captivated people for nearly three decades. It has transformed the lives of presidents and CEOs, educators, and parents....","Business & Careers|Relationships, Parenting & Personal Development|Small Business & Entrepreneurship|Management & Leadership|Personal Success|Workplace & Organizational Behaviour|Personal Development",productivity,907,in_progress,,,,"The 7 Habits of Highly Effective People by Sean Covey; Jim Collins - foreword; Stephen R. Covey. Narrated by Stephen R. Covey; Sean Covey. One of the most inspiring and impactful books ever written, The Seven Habits of Highly Effective People has captivated people for nearly three decades. It has transformed the lives of presidents and CEOs, educators, and parents...."
75,B08D9VG9T8,The Psychology of Money,"Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,Chris Hill,,,Harriman House,2020,English,"In The Psychology of Money, award-winning author Morgan Housel shares 19 short stories exploring the strange ways people think about money and teaches you how to make better sense of one of life’s most important topics....",Money & Finance|Personal Finance|Investing & Trading,other,353,in_progress,,,,"The Psychology of Money by Morgan Housel. Narrated by Chris Hill. In The Psychology of Money, award-winning author Morgan Housel shares 19 short stories exploring the strange ways people think about money and teaches you how to make better sense of one of life’s most important topics...."
77,B08X8QW7QD,Clean Architecture,A Craftsman's Guide to Software Structure and Design,Robert C. Martin,Theodore O'Brien,,,Upfront Books,2021,English,"Clean Architecture is an essential book for every current or aspiring software architect, systems analyst, system designer, and software manager - and for every programmer who must execute someone else’s designs....",Science & Engineering|Engineering,software_engineering,504,in_progress,,,,"Clean Architecture by Robert C. Martin. Narrated by Theodore O'Brien. Clean Architecture is an essential book for every current or aspiring software architect, systems analyst, system designer, and software manager - and for every programmer who must execute someone else’s designs...."
78,B09BK5G9MV,$100M Offers,How to Make Offers So Good People Feel Stupid Saying No,Alex Hormozi,Alexander Hormozi,,,Acquisition com LLC,2021,English,"The methods contained within this book are so simple, so instantaneous, and so effective, it’s as if they work by magic. If you implement even one tactic in this book, you’ll see the change in your prospects' demeanor....",Business & Careers|Personal Success|Marketing & Sales,other,229,in_progress,,,,"$100M Offers by Alex Hormozi. Narrated by Alexander Hormozi. The methods contained within this book are so simple, so instantaneous, and so effective, it’s as if they work by magic. If you implement even one tactic in this book, you’ll see the change in your prospects' demeanor...."
79,B09GJ5CBZJ,How to Speak How to Listen,,Mortimer J. Adler,Harold N. Cropp,,,Simon & Schuster Audio,2021,English,"With over half a million copies in print of his “living classic” How to Read a Book in print, intellectual, philosopher, and academic Mortimer J. Adler set out to write an accompanying volume on speaking and listening....","Relationships, Parenting & Personal Development|Personal Development|Personal Success|Communication & Social Skills",public_speaking,480,in_progress,,,,"How to Speak How to Listen by Mortimer J. Adler. Narrated by Harold N. Cropp. With over half a million copies in print of his “living classic” How to Read a Book in print, intellectual, philosopher, and academic Mortimer J. Adler set out to write an accompanying volume on speaking and listening...."
80,B09HSS4YH8,A Mind for Numbers,How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,Grover Gardner,,,Penguin Audio,2021,English,"Whether you are a student struggling to fulfill a math or science requirement, or you are embarking on a career change that requires a new skill set, A Mind for Numbers offers the tools you need to get a better grasp of that intimidating material....",Science & Engineering|Science|Mathematics,other,424,in_progress,,,,"A Mind for Numbers by Barbara Oakley. Narrated by Grover Gardner. Whether you are a student struggling to fulfill a math or science requirement, or you are embarking on a career change that requires a new skill set, A Mind for Numbers offers the tools you need to get a better grasp of that intimidating material...."
81,B09HSTT4XB,How to Take Smart Notes,"One Simple Technique to Boost Writing, Learning and Thinking - for Students, Academics and Nonfiction Book Writers",Sonke Ahrens,Nigel Fyfe,,,Sönke Ahrens,2021,English,"The key to good and efficient writing lies in the intelligent organization of ideas and notes. This book helps students, academics, and nonfiction writers to get more done, write intelligent texts, and learn for the long run....","Education & Learning|Education|Relationships, Parenting & Personal Development|Personal Development",writing,353,in_progress,,,,"How to Take Smart Notes by Sonke Ahrens. Narrated by Nigel Fyfe. The key to good and efficient writing lies in the intelligent organization of ideas and notes. This book helps students, academics, and nonfiction writers to get more done, write intelligent texts, and learn for the long run...."
82,B09MGDXFTJ,Building a Second Brain,A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,Tiago Forte,André Santana; Tiago Forte,,,Simon & Schuster Audio,2022,English,"Building a Second Brain presents a revolutionary approach to enhancing productivity, creating flow, and vastly increasing your ability to capture, remember, and benefit from the unprecedented amount of information all around us....","Business & Careers|Relationships, Parenting & Personal Development|Computers & Technology|Management & Leadership|Personal Development|Creativity|Data Science",other,449,in_progress,,,,"Building a Second Brain by Tiago Forte. Narrated by André Santana; Tiago Forte. Building a Second Brain presents a revolutionary approach to enhancing productivity, creating flow, and vastly increasing your ability to capture, remember, and benefit from the unprecedented amount of information all around us...."
83,B09MV4LX3J,Crucial Conversations (Third Edition),Tools for Talking When Stakes Are High,Joseph Grenny; Kerry Patterson; Ron McMillan; Al Switzler; Emily Gregory,Emily Gregory; Joseph Grenny,,,McGraw Hill-Ascent Audio,2021,English,The book that revolutionized business communications has been updated for today's workplace. Crucial Conversations provides powerful skills to ensure every conversation - especially difficult ones - leads to the results you want....,Business & Careers|Management & Leadership|Personal Success,other,465,in_progress,,,,Crucial Conversations (Third Edition) by Joseph Grenny; Kerry Patterson; Ron McMillan; Al Switzler; Emily Gregory. Narrated by Emily Gregory; Joseph Grenny. The book that revolutionized business communications has been updated for today's workplace. Crucial Conversations provides powerful skills to ensure every conversation - especially difficult ones - leads to the results you want....
84,B09SK5Y1RF,Discipline Is Destiny,The Power of Self-Control,Ryan Holiday,Ryan Holiday,The Stoic Virtues Series,,Penguin Audio,2022,English,"In his bestselling book Courage is Calling, author Ryan Holiday made the Stoic case for a bold and brave life. In this much-anticipated second book of his Stoic Virtue series, Holiday celebrates the awesome power of self-discipline and those who have seized it....","Politics & Social Sciences|Business & Careers|Relationships, Parenting & Personal Development|Philosophy|Greek & Roman|Personal Success|Personal Development",productivity,437,in_progress,,,,"Discipline Is Destiny by Ryan Holiday. Narrated by Ryan Holiday. In his bestselling book Courage is Calling, author Ryan Holiday made the Stoic case for a bold and brave life. In this much-anticipated second book of his Stoic Virtue series, Holiday celebrates the awesome power of self-discipline and those who have seized it...."
85,B0B6484TCX,Outlive,The Science and Art of Longevity,Peter Attia MD; Bill Gifford - contributor,Peter Attia MD,,,Random House Audio,2023,English,"A groundbreaking manifesto on living better and longer that challenges the conventional medical thinking on aging and reveals a new approach to preventing chronic disease and extending long-term health, from a visionary physician and leading longevity expert....","Health & Wellness|Relationships, Parenting & Personal Development|Science & Engineering|Personal Development|Science|Biological Sciences",other,1027,in_progress,,,,"Outlive by Peter Attia MD; Bill Gifford - contributor. Narrated by Peter Attia MD. A groundbreaking manifesto on living better and longer that challenges the conventional medical thinking on aging and reveals a new approach to preventing chronic disease and extending long-term health, from a visionary physician and leading longevity expert...."
86,B0B6QCS634,The Steal Like an Artist Audio Trilogy,"How to Be Creative, Show Your Work, and Keep Going",Austin Kleon,Austin Kleon,,,Workman Publishing Company,2022,English,"It’s an audio compilation of Steal Like an Artist, Show Your Work and Keep Going, the bestselling and transformative series on how to unlock your creativity, find community and an audience in the digital age, and stay focused, creative and true to yourself—for life....","Arts & Entertainment|Relationships, Parenting & Personal Development|Personal Development|Creativity",other,272,in_progress,,,,"The Steal Like an Artist Audio Trilogy by Austin Kleon. Narrated by Austin Kleon. It’s an audio compilation of Steal Like an Artist, Show Your Work and Keep Going, the bestselling and transformative series on how to unlock your creativity, find community and an audience in the digital age, and stay focused, creative and true to yourself—for life...."
87,B0C4VS75W2,Forever Strong,"A New, Science-Based Strategy for Aging Well",Dr. Gabrielle Lyon,Dr. Gabrielle Lyon,,,Simon & Schuster Audio,2023,English,"After years of watching patients cycle through her practice, Dr. Gabrielle Lyon noticed a pattern. While her patients struggled with a wide range of conditions, they all suffered from the same core problem: they had too little muscle rather than too much fat....","Health & Wellness|Fitness, Diet & Nutrition|Diets, Nutrition & Healthy Eating|Hygiene & Healthy Living",other,585,in_progress,,,,"Forever Strong by Dr. Gabrielle Lyon. Narrated by Dr. Gabrielle Lyon. After years of watching patients cycle through her practice, Dr. Gabrielle Lyon noticed a pattern. While her patients struggled with a wide range of conditions, they all suffered from the same core problem: they had too little muscle rather than too much fat...."
88,B0C4W36MBC,The Diary of a CEO,The 33 Laws of Business and Life,Steven Bartlett,Steven Bartlett,,,Penguin Audio,2023,English,Steven Bartlett has never been one to follow conventional rules. He’s achieved extraordinary success and emerged as one of the greatest marketing minds of our time by doing things differently. But there is a method to his maverick style....,"Business & Careers|Relationships, Parenting & Personal Development|Small Business & Entrepreneurship|Personal Success|Personal Development",other,404,in_progress,,,,The Diary of a CEO by Steven Bartlett. Narrated by Steven Bartlett. Steven Bartlett has never been one to follow conventional rules. He’s achieved extraordinary success and emerged as one of the greatest marketing minds of our time by doing things differently. But there is a method to his maverick style....
89,B0C5Y3CY2P,Hidden Potential,The Science of Achieving Greater Things,Adam Grant,Adam Grant; Maurice Ashley; R. A. Dickey; Evelyn Glennie; Sara Maria Hasbun; Francis Idehen; Alison Levine; Benny Lewis; Kari Louhivuori; Nelli Louhivuori; Brandon Payne; Richard Pine; Gil Winch; full cast,,,Penguin Audio,2023,English,The #1 New York Times bestselling author of Think Again illuminates how we can elevate ourselves and others to unexpected heights....,"Business & Careers|Health & Wellness|Relationships, Parenting & Personal Development|Personal Success|Psychology & Mental Health|Psychology|Personal Development",other,441,in_progress,,,,Hidden Potential by Adam Grant. Narrated by Adam Grant; Maurice Ashley; R. A. Dickey; Evelyn Glennie; Sara Maria Hasbun; Francis Idehen; Alison Levine; Benny Lewis; Kari Louhivuori; Nelli Louhivuori; Brandon Payne; Richard Pine; Gil Winch; full cast. The #1 New York Times bestselling author of Think Again illuminates how we can elevate ourselves and others to unexpected heights....
90,B0C6YNPVP1,Supercommunicators,How to Unlock the Secret Language of Connection,Charles Duhigg,Charles Duhigg,,,Random House Audio,2024,English,Come inside a jury room as one juror leads a starkly divided room to consensus. Join a young CIA officer as he recruits a reluctant foreign agent....,"Business & Careers|Health & Wellness|Relationships, Parenting & Personal Development|Management & Leadership|Psychology & Mental Health|Psychology|Personal Development|Communication & Social Skills",public_speaking,448,not_started,,,,Supercommunicators by Charles Duhigg. Narrated by Charles Duhigg. Come inside a jury room as one juror leads a starkly divided room to consensus. Join a young CIA officer as he recruits a reluctant foreign agent....
91,B0CB94PP67,Slow Productivity,The Lost Art of Accomplishment Without Burnout,Cal Newport,Cal Newport,,,Penguin Audio,2024,English,"From the New York Times bestselling author of Digital Minimalism and Deep Work, a groundbreaking philosophy for pursuing meaningful accomplishment while avoiding overload....","Business & Careers|Relationships, Parenting & Personal Development|Management & Leadership|Personal Success|Personal Development",productivity,377,in_progress,,,,"Slow Productivity by Cal Newport. Narrated by Cal Newport. From the New York Times bestselling author of Digital Minimalism and Deep Work, a groundbreaking philosophy for pursuing meaningful accomplishment while avoiding overload...."
92,B0CH1NLK6G,Take Charge of Your Life,The 12 Master Skills for Success,Brian Tracy,Michael Tracy,,,G&D Media,2023,English,"One of the hallmark's of Brian Tracy's philosophy is that you are 100% responsible for the results in your life. While Brian Tracy has discussed this philosophy since the 1980's, it is increasingly out of place in our current cultural moment....","Business & Careers|Relationships, Parenting & Personal Development|Personal Success|Personal Development",other,374,not_started,,,,"Take Charge of Your Life by Brian Tracy. Narrated by Michael Tracy. One of the hallmark's of Brian Tracy's philosophy is that you are 100% responsible for the results in your life. While Brian Tracy has discussed this philosophy since the 1980's, it is increasingly out of place in our current cultural moment...."
93,B0DJTBCYR2,Six Thinking Hats,,Edward De Bono,Mike Fraser,,,"Echo Point Books & Media, LLC",2024,English,"Used successfully by thousands of business managers, educators, and government leaders around the world, Six Thinking Hats offers a practical and uniquely positive approach to making decisions and exploring new ideas.",Business & Careers|Small Business & Entrepreneurship|Entrepreneurship|Personal Success,other,255,not_started,,,,"Six Thinking Hats by Edward De Bono. Narrated by Mike Fraser. Used successfully by thousands of business managers, educators, and government leaders around the world, Six Thinking Hats offers a practical and uniquely positive approach to making decisions and exploring new ideas."
94,B0DNR73KR3,Build a Large Language Model (From Scratch),,Sebastian Raschka,Julie Brierley,,,Manning Publications,2024,English,"In Build a Large Language Model (from Scratch) bestselling author Sebastian Raschka guides you step by step through creating your own LLM. Each stage is explained with clear text, diagrams, and examples.",Computers & Technology|Computer Science,software_engineering,460,not_started,,,,"Build a Large Language Model (From Scratch) by Sebastian Raschka. Narrated by Julie Brierley. In Build a Large Language Model (from Scratch) bestselling author Sebastian Raschka guides you step by step through creating your own LLM. Each stage is explained with clear text, diagrams, and examples."
95,B0DWHY626J,AI Engineering,Building Applications with Foundation Models,Chip Huyen,Edelyn Okano,,,Ascent Audio,2025,English,"Recent breakthroughs in AI have not only increased demand for AI products, they've also lowered the barriers to entry for those who want to build AI products.",Computers & Technology|Computer Science,software_engineering,1272,in_progress,,,,"AI Engineering by Chip Huyen. Narrated by Edelyn Okano. Recent breakthroughs in AI have not only increased demand for AI products, they've also lowered the barriers to entry for those who want to build AI products."
96,B0FM57CSB6,Open to Work,How to Get Ahead in the Age of AI,Ryan Roslansky; Aneesh Raman,Alex Knox,,,Harper Business,2026,English,"AN INSTANT NEW YORK TIMES BESTSELLER Work is changing for everyone, everywhere. Standing still isn't an option. Ryan Roslansky and Aneesh Raman, CEO and Chief Economic Opportunity Officer at LinkedIn, show you how to take control of this moment with clarity and confidence. The future of work is...",Biographies & Memoirs|Business & Careers|Professionals & Academics|Business|Management & Leadership|Personal Success,other,356,in_progress,,,,"Open to Work by Ryan Roslansky; Aneesh Raman. Narrated by Alex Knox. AN INSTANT NEW YORK TIMES BESTSELLER Work is changing for everyone, everywhere. Standing still isn't an option. Ryan Roslansky and Aneesh Raman, CEO and Chief Economic Opportunity Officer at LinkedIn, show you how to take control of this moment with clarity and confidence. The future of work is..."
